MID,fb,Rating
Mxlxljjy,"Raga handling BI track without any issues, keeps relevant documents updated in client folder for future reference. ÿ",4
Mxlxljjy,,4
Mxlxljjy,Handling the tickets without any issues including Service Request/Incidents/change request on time.ÿ,4
Mxlxljjy,,4
Mxlxljjy,Ranga ensures that all assigned tickets are tracked till closure and ensures that tickets are updated with relevant case comments with proper details.,4
Mxlxljjy,,4
Mxlxljjy,Attends required training's based on his assignment.,4
Mxlxljjy,,4
Mxlxljjy,Supporting documents related to his track are maintained properly.ÿ,4
Mxlxljjy,,4
Mxlxljjy,,4
Mxlxljjy,Takes care of Monthly DP and submission of timesheet to client on time for invoicing his effort.ÿ,4
Mxlxljjy,,4
Mxlxljjy,Timesheets are submitted on time without any deviations. there is no escalations related to his timesheets and leave applications.,4
Mxlxljjy,,4
Mxlxljjy,,4
Mxlxljjy,,4
Mxlxljjy,,4
Mxlxljjy,,4
Mxlxljjy,,4
Mxlxljjy,,4
Mxlxlhjx,,3.5
Mxlxlhjx,"Suchita had developed few master jobs and delivered in time along with test scripts and documents.

Prepared number of docs for PH-Retail & all the docs for the jobs she developed for ID-Hospital





",3.5
Mxlxlhjx,,3.5
Mxlxlhjx,"Sucheta is compliant in timesheets, project processes etc
Daily tasks were done by her as per expected .ÿNeed to focus more in domain side as an experienced professional .",3.5
Mxlxlhjx,"Sucheta is working in the J&J project as a Talend developer from past 2 months. She has worked on the PH Retail project. She picked up Talend ETL tool and was able to contribute to the project with bug fixes on the existing jobs, changes to the jobs and testing and data validation.



Sucheta was part of PH-Retail team and later was part of ID- Hospital project for a month were he gather requirements & developed jobsÿÿforÿmultiple ÿre-usable components

He had completed her task in time by direct coordination ÿwith customer.

As new to ÿTalend ETL tool, she was ÿidentified the changes in ETL code and applied to it.





What could have gone better:",3.5
Mxlxlhjx,,3.5
Mxlxlhjx,,3.5
Mxlxlhjx,,3.5
Mxlxlhjx,,3.5
Mxlxlhjx,,3.5
Mxlxlhjx,,3.5
Mxlxlhjx,,3.5
Mxlxlhjx,,3.5
Mxlxaxhh,Vishala completed the mobile POT and TSW pricing POC. She worked with onshore architect for both of these.,3.5
Mxlxaxhh,,3.5
Mxlxaxhh,"Vishala gave updates as required, with the help of lead she could give progress update.",3.5
Mxlxaxhh,,3.5
Mxlxaxhh,,3.5
Mxlxaxhh,Vishala picked up web services implementation for mobile POT project.,3.5
Mxlxaxhh,"Vishala is flexible, when required she supported work in the extended hours.",3.5
Mxlxaxhh,,3.5
Mxlxaxhh,,3.5
Mxlxaxhh,,3.5
Mxlxaxhh,,3.5
Mxlxaxhh,,3.5
Mxlxajge,,4
Mxlxajge,"Ravi posses very good communication skills. Uses clear and concise communication in communicating status update, issues reporting and deliverable.",4
Mxlxajge,,4
Mxlxajge,"Ravi is quick learner. Identified the learning needs based on the technical stack in other tracks and showedÿself intrest to learn LucidWorks Fusion Indexing and query pipeline. This helps Ravi to strengthen his technicalÿexpertise on building search platform using solr, fusion and spring boot. This enabled him to backup one of the THDÿassociate on his vacation. Ravi was able to learn google cloud concepts like pubsub, datastore, compute instancesÿand etc.. being used in the THD enterprise search platform. this enables him to work and contribute in otherÿmodules like orchestration, customer behavior modules. Ravi also cleared Yorbit 201 certification",4
Mxlxajge,Ravi always showed willingness to take up extra work and utilized his available time to learn/explore new stuff. He shouldered responsibility of Customer behavior module and orchestration module in the obeseness of respective track leads.,4
Mxlxajge,,4
Mxlxajge,"Ravi Quickly adapted to Home depot processes. And also, tools and technologies needed like google cloud, solrÿindexing with minimal guidance. Ravi can further explore more on SOLR concepts apart from his regular work andÿcome up with alternate suggestions or solutions for THD search needs. also gain more expertise on TDD and cloudÿnative applications which helps in building high available and auto scalable solutions.",4
Mxlxajge,,4
Mxlxajge,,4
Mxlxajge,"Ravi involved in multiple tracks and ensured high quality of deliverable in the work he has done
Quick learner. Able to to grasp complex requirements with ease and complete without much help and followup.
Fusion - He was proactive in learning Fusion module and explored fusion without much help. And did good analysis work to figure how to use fusion for thd scenarios.Designed and developed Rule Engine module
Explored and developed integration of SaerchNav API with fusion.ÿ
Contributed and helped other team members in developing search components.",4
Mxlxajge,,4
Mxlxajge,,4
Mxlxajge,,4
Mxlxajge,,4
Mxlxajge,,4
Mxlxahla,Refer my above comments,4
Mxlxahla,,4
Mxlxahla,,4
Mxlxahla,You have very good knowledge in the migration and you share your knowledge with offshore team as well. But try to involve outside of migration and improve your technical skill. Also come forward if we have any technical challenge to solve.,4
Mxlxahla,,4
Mxlxahla,"You done a excellent work on Custom Team site migration project and you are the key person for the successful implementation ÿof this. This is being complex project in technical as well as coordinating with business team. Also you have created good atmosphere with all stakeholder which help to get UAT sign-off and implementation on-time. You played a dual role in all the project you have worked - BSA and Onsite Coordinator. You have done a good job in other project like farm consolidation, AD Hardening, etc.

Office 365 custom migration is a key project this year and your ÿcontribution in this is outstanding and keep customer informed about the progress of the project. ÿÿ",4
Mxlxahla,,4
Mxlxahla,Your communication ÿand project tracking is good. You have good communication skill and keep every stakeholder informed about the status. Also you have very good offshore coordination skill.,4
Mxlxahla,,4
Mxlxahla,,4
Mxlxahla,,4
Mxlxahla,,4
Mxlxahla,,4
Mxlxahla,,4
Mxlxahla,,4
Mxlxahah,Agree with self commentsFollows process and ensures the trackers defined are updated,4
Mxlxahah,,4
Mxlxahah,,4
Mxlxahah,"He is a team player and isÿapproachable for the teamÿ
When it comes to CM team Arun has always been the point of contact and guiding in every task of CM team",4
Mxlxahah,Agree with self comments,4
Mxlxahah,,4
Mxlxahah,,4
Mxlxahah,"Understands the project need and criticality
Follows process and ensures the trackers defined are updated
Actively participate in the meetings and provided detailed updates


Brings up foreseen risks and issues on time.",4
Mxlxahah,,4
Mxlxahah,"Arun takes ownership of the modules/ tasks allocated.
Process oriented and ensures he get his tasks reviewed
Takes actions on the review commentsÿ",4
Mxlxahah,,4
Mxlxahah,,4
Mxlxahah,,4
Mxlxahah,,4
Mxlxyljj,#NAME?,4
Mxlxyljj,,4
Mxlxyljj,"- He has proactively attended training's and completed courses which are inline to the current work assignment.ÿ 

- He has completed all the internal and client training's before the schedule

- He has adhered to all the timelines in applying leaves, NIO",4
Mxlxyljj,,4
Mxlxyljj,#NAME?,4
Mxlxyljj,,4
Mxlxyljj,,4
Mxlxyljj,,4
Mxlxyljj,,4
Mxlxyljj,,4
Mxlxyljj,,4
Mxlxyljj,,4
Mxlxyljj,,4
Mxlxeaax,,4
Mxlxeaax,#NAME?,4
Mxlxeaax,#NAME?,4
Mxlxeaax,,4
Mxlxeaax,#NAME?,4
Mxlxeaax,,4
Mxlxeaax,,4
Mxlxeaax,#NAME?,4
Mxlxeaax,,4
Mxlxeaax,#NAME?,4
Mxlxeaax,#NAME?,4
Mxlxeaax,,4
Mxlxeaax,,4
Mxlxeaax,#NAME?,4
Mxlxeaax,,4
Mxlxeaax,,4
Mxlxeaax,,4
Mxlxeaax,,4
Mxlxeaax,,4
Mxlxeaax,,4
Mxlxeaax,,4
Mxlxejje,,4
Mxlxejje,"Satish is very responsive for customer queries and giving clarifications. His technical leadership and coordination with other services made many successful releases of NPP. Besides his primary project, he has extended his contributions to Client Portal, Warranty, PCG and weekly support activities.

Network Partner Portal application was very critical for all stake holders. All these successful deliveries extended the project continuity.
",4
Mxlxejje,"Satish worked with many interfacing applications and learnt their services and extended it for the portal applications. E.g. He has very closely worked with OMeGA team and studied the current data model for NPP application, involved in one of the POCs with DSU for Warranty portal.ÿÿ",4
Mxlxejje,,4
Mxlxejje,,4
Mxlxejje,"Satish worked with many interfacing applications and learnt their services and extended it for the portal applications. E.g. He has very closely worked with OMeGA team and studied the current data model for NPP application, involved in one of the POCs with DSU for Warranty portal.ÿ",4
Mxlxejje,"Satish involved in the requirement discussion of Warranty, NPP and CP. He played a very critical role in the NPP design and further worked with the Data team to get them approved. It was a time critical application for multinationalÿcustomers.",4
Mxlxejje,,4
Mxlxejje,,4
Mxlxejje,Satish leveraged his client portal knowledge and extended it for NPP application. He helped the team to understand the CP workflow which further helped to fast track the application delivery.ÿ,4
Mxlxejje,,4
Mxlxejje,,4
Mxlxejje,,4
Mxlxejje,,4
Mxlxejje,,4
Mxlxejje,,4
Mxlxtxlj,Ashutosh has picked up Storefront project very well and implemented it as expected. He took up the lead responsibilities and effectively delivered the solution. Ashutosh has excellent technical skills with flexibility and a great team player. The quality work on the storefront was appreciated by AIG Senior managers. ÿ,4
Mxlxtxlj,,4
Mxlxtxlj,,4
Mxlxtxlj,Ashutosh provided realistic estimates and delivered the sprints on-time as planned without compromise on Quality.,4
Mxlxtxlj,,4
Mxlxtxlj,"Ashutosh's process adherence is 100% . Ashutosh understands the process and strives for it's compliance without impacting the delivery time. Good job Keep it up,.",4
Mxlxtxlj,,4
Mxlxtxlj,Ashutosh took care of business requirements and ensured that team understands it. Always involved QA team also which resulted in seamless unit and QA testing.ÿ,4
Mxlxtxlj,,4
Mxlxtxlj,Ashutosh has completed the technical and Lead training which will help him to take up more responsibilities effectively.,4
Mxlxtxlj,,4
Mxlxtxlj,,4
Mxlxtxlj,,4
Mxlxtxlj,,4
Mxlxtxlj,,4
Mxlxtxlj,,4
Mxlxtxlj,,4
Mxlxtjhy,"What Went well
==============
-- Dentalcare given good opportunity to work on decent size of development project
-- Involved in the project from the beginning
-- Learned tools & Technologies of DC in short span of time to start with implementation - Appreciable
-- Completely owned from design to implementation of CI/CD for Dentalcare - Appreciable
-- Implemented CI/CD for DC in short span of time which helped in smooth deployments for Dentalcare
-- Helped CI/CD team to understand current implementation and to proceed with further phases - Appreciable
-- Allways DC ÿand CI/CD teams looks for you for any deployment related issues / queries. It is an evident to your strong technical knowledge on CI / CD - Appreciable
-- Completely owned in setting up of GIT Repository for DC - Appreciable
-- GIT Sourcetree is another tool which was explored and given KT to all the team members to use effectively - Appreciable
-- Involved in implementation of stories related to Course Intro, Course questionnaire, Course Evaluation, Speaker-Initiation, Course redirection and rewrite
-- Initial sprints worked with co located team and coordinated very wellÿ
-- Well Understood the functional requirements by going through the details of user stories before implementation
-- Well taken up the design / requirement changes during Sprint implementation - Appreciable
-- All the task assigned are completed on time with quality deliverable and no major functional error noticed in SIT/ UAT stage
-- Understood the design and Architecture of the project and followed accordingly
-- Involved in technical discussions with lead and Architect
-- You gained very good learning in terms of technology and keep continue doing the same
-- Your willingness to stretch as and when required helped in achieving sprint commitment - Appreciable-- Understood",4.5
Mxlxtjhy,,4.5
Mxlxtjhy,,4.5
Mxlxtjhy,"What Went well
==============
-- Dentalcare given good opportunity to work on decent size of development project
-- Involved in the project from the beginning
-- Learned tools & Technologies of DC in short span of time to start with implementation - Appreciable
-- Completely owned from design to implementation of CI/CD for Dentalcare - Appreciable
-- Implemented CI/CD for DC in short span of time which helped in smooth deployments for Dentalcare
-- Helped CI/CD team to understand current implementation and to proceed with further phases - Appreciable
-- Allways DC ÿand CI/CD teams looks for you for any deployment related issues / queries. It is an evident to your strong technical knowledge on CI / CD - Appreciable
-- Completely owned in setting up of GIT Repository for DC - Appreciable
-- GIT Sourcetree is another tool which was explored and given KT to all the team members to use effectively - Appreciable
-- Involved in implementation of stories related to Course Intro, Course questionnaire, Course Evaluation, Speaker-Initiation, Course redirection and rewrite
-- Initial sprints worked with co located team and coordinated very wellÿ
-- Well Understood the functional requirements by going through the details of user stories before implementation
-- Well taken up the design / requirement changes during Sprint implementation - Appreciable
-- All the task assigned are completed on time with quality deliverable and no major functional error noticed in SIT/ UAT stage
-- Understood the design and Architecture of the project and followed accordingly
-- Involved in technical discussions with lead and Architect
-- You gained very good learning in terms of technology and keep continue doing the same
-- Your willingness to stretch as and when required helped in achieving sprint commitment - Appreciable-- Understood",4.5
Mxlxtjhy,,4.5
Mxlxtjhy,"What Went well
==============
-- Dentalcare given good opportunity to work on decent size of development project
-- Involved in the project from the beginning
-- Learned tools & Technologies of DC in short span of time to start with implementation - Appreciable
-- Completely owned from design to implementation of CI/CD for Dentalcare - Appreciable
-- Implemented CI/CD for DC in short span of time which helped in smooth deployments for Dentalcare
-- Helped CI/CD team to understand current implementation and to proceed with further phases - Appreciable
-- Allways DC ÿand CI/CD teams looks for you for any deployment related issues / queries. It is an evident to your strong technical knowledge on CI / CD - Appreciable
-- Completely owned in setting up of GIT Repository for DC - Appreciable
-- GIT Sourcetree is another tool which was explored and given KT to all the team members to use effectively - Appreciable
-- Involved in implementation of stories related to Course Intro, Course questionnaire, Course Evaluation, Speaker-Initiation, Course redirection and rewrite
-- Initial sprints worked with co located team and coordinated very wellÿ
-- Well Understood the functional requirements by going through the details of user stories before implementation
-- Well taken up the design / requirement changes during Sprint implementation - Appreciable
-- All the task assigned are completed on time with quality deliverable and no major functional error noticed in SIT/ UAT stage
-- Understood the design and Architecture of the project and followed accordingly
-- Involved in technical discussions with lead and Architect
-- You gained very good learning in terms of technology and keep continue doing the same
-- Your willingness to stretch as and when required helped in achieving sprint commitment - Appreciable-- Understood",4.5
Mxlxtjhy,,4.5
Mxlxtjhy,,4.5
Mxlxtjhy,,4.5
Mxlxtjhy,,4.5
Mxlxtjhy,,4.5
Mxlxtjhy,,4.5
Mxlxtjhy,,4.5
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,"When there was need to take up more knowledge from a leaving team member, she was clear in getting the complete knowledge of
new applications being received.
Her contribution towards handling the stressful situation was good.
She is a quick and good learner.
She had come up with ideas for implementing scripts which could be reused to resolve the issues at hand from time to time",4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,She was involved in multiple tasks and support to migration project was very good.,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,"Brindha has completed PMD and Extranet part of SharePoint to the satisfaction of the customer and received appreciation from the customer for her contributions.
She was a significant contributor in team, team was able to achieve 7/7 feedback during first quarter.
Team was excellent in handling the situation to receive and utilize the received knowledge to make sure customer was happy during
second quarter.",4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,"Brindha has maintained compliance with project requirements at all given time. She was excellent team player.


WIth her contribution to the project, we have received a satisfaction score of 6.14 out of 7 for the project.
There were no time sheet issues. She is proactive on the reporting issues. Also she worked late based on the project needs.



She was a significant contributor in team, team was able to achieve 7/7 feedback during first quarter.
Team was excellent in handling the situation to receive and utilize the received knowledge to make sure customer was happy during
second quarter.",4
Mxlxtggg,She is a quick learner. She attended project related training without fail. She was recognized for her work on O365 PoC.,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,"Brindha has worked on SharePoint assignments with due to care properly documented when needed,
maintained clarity and was on time to complete on tasks handed to her.
When she was given additional responsibilities she took them with care and was responsible in handling the tasks without any trouble.
She was good in communicating with the team and customer to complete the tasks.
She was process oriented and followed the guidelines meticulously",4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxtggg,,4
Mxlxjxjj,"
Fasil's code quality has always been high and very much appreciated by the customer


Things to improve:

He can pass on the expertise he has to junior team members to ensure good code quality for the whole team.

",4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxjj,"
Fasil is always prompt with this timesheets (both Mindtree and NFUM)


He takes up the responsibility of reviewing other team members code.


He has adhered to allÿconfiguration management practices defined for the projectÿ


He is very clear with his communication both written and verbal




Things to improve

He can put in more effort to make it a point to present his ideas in larger forums and meetings.
",4
Mxlxjxjj,,4
Mxlxjxjj,"
Fasil ensures that work assigned to him is delivered on time with quality. This helps build confidence with customer.


In his previous project (Alliant?s DW 1.0 project.)-ÿÿFasil worked in the ETL Support Work Stream and ÿAlliant line managers were appreciative of the work done by him.


Things to Improve

He can be proactive in providing ideas for value adds which will increase customer satisfaction.
",4
Mxlxjxjj,"

Fasil has adhered to timeliness in all the work assigned to him




He gets involved in all aspects of SDLC in the assigned work. i.e even though only development is assigned he makes it a point to get involved in requirement clarifications and solution designing.




He is always prompt with timesheets(both Mindtree and NFUM)




Fasil has adhered to all Mindtree policies and processes









Things to Improve:




He needs to be more vocal in meetings and forums to register his point.



",4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxjj,"

Fasil is very clear on his learning aspirations and he takes care to achieve them.




He was assigned a BOXI QCR - Post Call Letter, which had tight deadlines. Even though he did not know much about the technology, he learnt it on the fly and delivered the change on schedule. This was very much appreciated by Lesley Allen.



",4
Mxlxjxjj,"

Fasil has been actively involved in COE activities. This has helped him improve his skill set. The knowledge gained in COE activities has helped Claims Migration project in terms of SAP BODS infrastructure setup.




Fasil ensures that he helps junior team members by answering their queries and questions









Things to Improve




He should start sharing the knowledge with wider audience by conducting community sessions.ÿ



",4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxjj,"
Fasil has ensured that he takes up Yorbit courses to increase his skill set.

",4
Mxlxjxjj,,4
Mxlxjxjj,"

Whenever a QCR is assigned to Fasil he makes sure that he understands the requirement thoroughly. In case of questions he gets it clarified before building the code. This helps him understand the big picture and improve code quality.



",4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxjj,,4
Mxlxjxgh,Jyothi started learning big data. She should be able to implement the learningÿin project soon back from leave.,3.5
Mxlxjxgh,,3.5
Mxlxjxgh,"Agreed.ÿ
It would have been good if got more feedback on this.",3.5
Mxlxjxgh,,3.5
Mxlxjxgh,,3.5
Mxlxjxgh,"Jyothi was one of the first persons to try out phoenix as part of CoE activies.
She is quick learner and contributor. Once she is back I believe she will learn and do well.",3.5
Mxlxjxgh,,3.5
Mxlxjxgh,,3.5
Mxlxjxgh,,3.5
Mxlxjxgh,,3.5
Mxlxjaaj,"Kiran has been excellent communicator- both written and verbal. He listens, understands, articulates and paraphrase the discussion with appropriate response.ÿ",4.5
Mxlxjaaj,,4.5
Mxlxjaaj,Kiran has taken up tasks on priority based on SLA timelines and delivered it with quality. He work with no/ minimal errors within thresh hold limits and does not keep any task backlog. ÿ,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,Kiran has been good in learning new skills and eagerness to apply in the projects. He has taken up certifications and self learning courses and completed with good scores.ÿ,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,"Kiran has been proactive on on preparing the RCA , hence adding values to the perfective maintenance tasks of the project. The RCA document has been effective in reducing the turnaround of the repeat issues.ÿ",4.5
Mxlxjaaj,"Kiran has been proactive on assignments, processes and involved technologies. He proactively planned autosys script migration for DWH jobs in the project, hence adding values to the preventive maintenance tasks of the project. ÿ",4.5
Mxlxjaaj,,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,Kiran has been excellent contributor on issue resolution and documentation. He gained the confidence of Customer within no times.ÿ,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,Kiran has been taken the lead on documenting the tasks he handled as well as proactively documented process at customer business. He reports and address the issues within defined SLA and helps other team members on getting the task done within defined timelines.ÿ,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,,4.5
Mxlxjaaj,,4.5
Mxlxjyaj,,3.5
Mxlxjyaj,"Provided timely status of activities, inputs to the teamÿ",3.5
Mxlxjyaj,Did a good job in CSDH developmentÿ,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,Can further amplify leanring,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,Met expectation,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,Timely submission of timesheets and and escalation of issues.,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,Adhered to processes and tracking on service now.,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,Monitoring monthly jobs and fixed prod issues on priority,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,,3.5
Mxlxjyaj,,3.5
Mxlxjyya,,3.5
Mxlxjyya,"Vaskar is good technically - he is good at ETL as well as reporting , seems very flexible - hardworking and committed . He was the only single point of contact from onsite for a couple of critical applications , he ensured that all the needed delivery was met as per timelines with minimum management .",3.5
Mxlxjyya,"HE is good at projects concerning CIT , I would like to see him proactively participate in COE related activities , come up with value add's and CIP's for his track .",3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjyya,"Vaskar is good technically - he is good at ETL as well as reporting , seems very flexible - hardworking and committed . He was the only single point of contact from onsite for a couple of critical applications , he ensured that all the needed delivery was met as per timelines with minimum management .
He was able to scale up quickly , some of the projects he has been handling has been very challenging.",3.5
Mxlxjyya,"Vaskar is good technically - he is good at ETL as well as reporting , seems very flexible - hardworking and committed . He was the only single point of contact from onsite for a couple of critical applications , he ensured that all the needed delivery was met as per timelines with minimum management .
He was able to scale up quickly , some of the projects he has been handling has been very challenging.",3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjyya,Yes agreed,3.5
Mxlxjyya,Yes Agreedÿ,3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjyya,"Yes Agreed ,ÿ",3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjyya,,3.5
Mxlxjygl,,3.5
Mxlxjygl,"
He has been very good at communicating and keeping the team informed on required projected related items.


He has delivered very good quality of code in HMIS process time addition. This has helped us improve the daily load time by 45 mins.

Nishi has recently moved to support track and his work has been well appreciated.





ÿThings To Improve:


He needs to ensure that he takes complete ownership of the work assigned to him. There have been instances when this has been missed and caused delivery impacts. Eg. MIRS Universe promotion to systest for Farming Prop 1610 release.


Quality of the deliverable can be increased by performing proper unit testing. There have been instances when there were high number of defects in the delivered code. Eg. HMIS reports for Farming Prop In 1610 release.

",3.5
Mxlxjygl,,3.5
Mxlxjygl,"
Nishi has been good at providing dedicated support for completing the work assigned to him. ÿ


Nishi has handled support track all by himself when Mukesh was on leave, This has been very well appreciated by Karen Stacey and Emma Groves.



Things To Improve:


He needs to improve his code quality to gain more customer confidence, which in turn will help the project team to attain required customer satisfaction.ÿ


He needs to proactively take initiatives to provide value add?s.

",3.5
Mxlxjygl,"

Nishi has been compliant in following NFUM standards and templates in all the assigned work.



",3.5
Mxlxjygl,,3.5
Mxlxjygl,"
He has created reusable component in terms of documentation. However he can work on creating re-usable piece of code which will add more value to his contributions.

",3.5
Mxlxjygl,,3.5
Mxlxjygl,"

He has been very good at organising and being part ofÿaccount-related activities like celebrating birthdays, team-lunch etc.




He ensures that coding standards are followed as per NFUM standards.




He has adhered to all NFUM configuration management practices.




After moving into support track he has been very proactive and dedicated in resolving Incidents.








ÿThings To Improve:



There have been multiple instances of miss in timesheet submission (both Mindtree and NFUM) which have been highlighted by customer. He needs to work on this to ensure that there is 100% adherence to the process. After mid-year review he has improved on this and should continue the same.




Quality of the code delivered can be increased by ensuring that he gets the code peer reviewed and performing thorough unit testing.



",3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjygl,,3.5
Mxlxjelt,"You have been working on completing certifications, training. You should try to invest sometime to work on practice related activities.",3.5
Mxlxjelt,,3.5
Mxlxjelt,,3.5
Mxlxjelt,"Your written communication on emails sent to the end users are good but could be more precise and structured to provide a background.ÿ

Also, if tickets are taking longer to be completed it will always be better if there are timely updates provided to the user.

You work well with the team and I have not come across any issues you have with team members. You have also begun to interact more with end users which is good and you should increase the frequency on most tickets.

It will be helpful for the entire team if there can be extended communication in addition to tickets on activities such as email monitoring, defect creation.ÿIt will just help the entire team perform better.ÿ





",3.5
Mxlxjelt,It is good to see that you have taken the initiative to complete trail head course & certifications to enhance your skills. In the next one year you should also take up more courses Salesforce or others proactively andÿalso practice the same to enhance your understanding on Salesforce.ÿ,3.5
Mxlxjelt,,3.5
Mxlxjelt,,3.5
Mxlxjelt,"Pakeerappa, in the past 6 months you have been working well to address all tickets assigned to you. There have been almost no SLA breaches on the tickets handled by you and I have observed that you put in extra efforts on resolving newer types of tickets.

You also discuss with team and work collaboratively which you should continue to do. I have also observed that you work well with the team and also other members when there are issues to be resolved.

In the coming months, you should be able to work on more complex modules and therefore it is important for you to improve your understanding of the application. This will help you take up more responsibilities and scale up.ÿ

You can also focus on analyzing types of issues, requests and identify if there is any way we can take proactive steps to avoid issues or if there easier ways of doing some tasks. This will also help elevate your understanding of the Salesforce.ÿ",3.5
Mxlxjelt,,3.5
Mxlxjelt,"On the process adherence, you have been adhering to most processes defined in the project such ticket creation, first response on service request and others Some processes such as internal resolution documents, email monitoring need reminders or follow-ups.
You have also managed Germany calls well in the absence of team members and you should continue to take up more of such responsibilities.
As an improvement, I would like you to work on improving your understanding/ knowledge of the application such that you are able to handle complex modules moving forward. Take initiatives to understand how certain features are implemented which will also help you improve your understanding of Salesforce platform.
I appreciate that you also provide inputs to improve certain processes, you should continue to do this but you should also take the lead to anchor such initiatives.
Considering you have experience working on multiple other projects as a technical mind, you should initiate, discuss and plan on document preparation that can be helpful for the daily operations of the team.",3.5
Mxlxjelt,,3.5
Mxlxjelt,,3.5
Mxlxjelt,,3.5
Mxlxjelt,,3.5
